needsPractice,type,pronoun,singular,plural,translations,categories,class,,
TRUE,adverb,,beides,,"both, ambos",general,,,
TRUE,adverb,,andere,,"other, otro",general,,,
TRUE,adverb,,draußen,,"outside, afuera",general,,,
TRUE,adverb,,manchmal,,"sometimes, algunas veces",general,,,
TRUE,adverb,,meisten,,"most, la mayoria",general,,,
TRUE,adverb,,nochmal,,"again, de nuevo",general,,,
TRUE,adverb,,zuerst,,"first, primero",general,,,
TRUE,adverb,,danach,,"after, despues",general,,,
TRUE,adverb,,früh,,"early, temprano",general,,,
TRUE,adverb,,niemand,,"nobody, nadie",general,,,
TRUE,adverb,,immer,,"always, siempre",general,,,
TRUE,adverb,,unterschied,,"difference, diferencia",general,,,
TRUE,noun,der,Würfel,,"cube, cubo",general,,,
TRUE,adjective,,schlecht,,"malo, bad",general,,,
TRUE,adjective,,echter,,"verdadero, real",general,,,
TRUE,adjective,,weibliche,,"female,femenino",general,,,
TRUE,adjective,,lieblings,,"favourite, favorito",general,,,
TRUE,adjective,,hässlich,,"ugly, feo",general,,,
TRUE,adjective,,bequem,,"comfortable, comodo",general,,,
TRUE,adjective,,dicke,,"thick, grueso",general,,,
TRUE,noun,die,Eigenschaft,Eigenschaften,"property, propiedad",general,,,
TRUE,noun,der,Stift,Stifte,"pen, esfero",general,,,
TRUE,noun,das,Lieder,,"song, cancion",general,,,
TRUE,noun,das,Kleid,,"dress, vestido",general,,,
TRUE,noun,das,Holz,,"wood, madera",general,,,
TRUE,noun,das,Leder,,"leather, cuero",general,,,
TRUE,noun,der,Hals,,"throat, cuello",general,,,
TRUE,noun,der,Schlafanzug,,pijama,general,,,
TRUE,noun,die,Krawatte,,"tie, corbata",general,,,
TRUE,verb,,schneiden,,"cut, cortar",general,,,
TRUE,verb,,lachen,,"laugh, reir",general,,,
TRUE,verb,,schauen,,"watch, ver",general,,,
TRUE,verb,,bereiten,,"prepare, preparar",general,,,
TRUE,verb,,duscht,,"take a shower, tomar una ducha",general,,,
,verb,,aussehen,,"look, mirar",general,,,
TRUE,noun,,gegenteil,,"opposite, ",general,,,
TRUE,adverb,,schlussendlich,,"finally, finalmente",general,,,
TRUE,verb,,sehen,,"see, ver",general,,,
TRUE,verb,,ziehen,,"pull, jalar",general,,,
TRUE,verb,,erkennen,,"recognize, reconocer",general,213,,
TRUE,verb,,benennen,,"name, nombrar",general,213,,
TRUE,verb,,anwenden,,"apply, aplicar",general,213,,
TRUE,verb,,bleiben,,"stay, permanecer",general,214,,
TRUE,adverb,,lieber,,"rather, mas bien",general,214,,
TRUE,verb,,überlegt,,"consider, considerar",general,214,,
TRUE,adverb,,bestimmt,,"definitely, definitivamente",general,214,,
TRUE,adjective,,spannend,,"exciting, emocionante",general,214,,
TRUE,adverb,,bald,bald,"soon, pronto",general,215,,
TRUE,noun,der,Bauarbeiter,,"construction worker, obrero",house,,,
TRUE,noun,das,Gerät,Geräte,"equipment, equipo","officeEquipment, home",215,,
TRUE,noun,die,Verbindung,Verbindungen,"connection, conexion",officeEquipment,215,,
TRUE,verb,,verbinden,,"connect, conectar",officeEquipment,215,,
TRUE,noun,der,Bildschirm,Bildschirme,monitor,officeEquipment,215,,
TRUE,noun,der,Drucker,Drucker,"printer, impresora",officeEquipment,215,,
TRUE,noun,die,Tastatur,Tastaturen,"keyboard, teclado",officeEquipment,215,,
TRUE,verb,,antworten,,"reply, responder",officeEquipment,215,,
TRUE,noun,der,Brief,Briefe,"letter, carta",officeEquipment,215,,
TRUE,noun,der,Briefumschlag,Briefumschläge,"envelope, sobre",officeEquipment,215,,
TRUE,noun,das,Papier,Papiere,"paper, papel",officeEquipment,215,,
TRUE,noun,die ,Post,Post,"post, correo",officeEquipment,215,,
TRUE,noun,der,Bleistift,Bleistifte,"pencil, lapiz",officeEquipment,215,,
TRUE,noun,das,Internet,,internet,officeEquipment,215,,
TRUE,noun,das,Dokument,Dokumente,"document, documento",officeEquipment,215,,
TRUE,noun,die ,Postkarte,Postkarten,"postcard, postal","officeEquipment, travel",215,,
TRUE,verb,,schicken (dir),,"send, enviarte",officeEquipment,215,,
TRUE,verb,,verschicken,,"send, enviar",officeEquipment,215,,
TRUE,noun,die,Anschrift,Anschriften,"address, direccion",officeEquipment,215,,
TRUE,noun,die,Briefmarke,Briefmarken,"stamp, estampilla",officeEquipment,215,,
TRUE,noun,der,Briefkasten,,"mailbox, buzon",officeEquipment,215,,
TRUE,noun,das,Paket,Pakete,"parcel, paquete",officeEquipment,215,,
TRUE,noun,die,Sendung,,"sending, envio",officeEquipment,215,,
TRUE,noun,der,Postbote,,"postman, cartero",officeEquipment,215,,
TRUE,noun,die,Tüte,Tüten,"bag, bolsa",officeEquipment,215,,
TRUE,verb,,überraschen,,"surprise, sorprender",officeEquipment,215,,
TRUE,noun,der,Feuerwehrmann,,"firefighter, bombero",professions,,,
TRUE,noun,der,Mitschülerin,,"classmate, compañero de clase",professions,,,
TRUE,noun,der,Krankenpfleger,,"nurse, enfermero","professions, health",,,
TRUE,noun,der,Schauspieler,,actor,professions,,,
TRUE,noun,die,Sängerin,,"singer, cantante",professions,,,
TRUE,noun,die ,Ärztin,Ärztinnen,"doctor, doctora",professions,211,,
TRUE,noun,der,Schriftsteller,Schriftsteller,"writer, escritor",professions,211,,
TRUE,noun,der,Lehrer,Lehrer,"teacher, profesor",professions,211,,
TRUE,noun,der,Schüler,Schüler,"student, estudiante",professions,211,,
TRUE,noun,die,Mode-Designerin,,diseñador de moda,professions,211,,
TRUE,noun,der,Informatiker,,"develper, informático",professions,211,,
TRUE,noun,der,Polizist,,policia,professions,211,,
TRUE,noun,der,Koch,,"cook, cocinero",professions,211,,
TRUE,noun,der,Student,,estudiante,professions,211,,
TRUE,noun,der,Architekt,,arquitecto,professions,211,,
TRUE,noun,die,Architektin,,arquitecta,professions,211,,
TRUE,noun,der ,Frisör,,peluquero,professions,211,,
TRUE,noun,die,Friseurin,,peluquera,professions,211,,
TRUE,noun,der,Artz,Ärzte,doctor,professions,211,,
TRUE,noun,der,Sekretär,,secretario,professions,211,,
TRUE,noun,der,Taxifahrer,,taxista,professions,211,,
TRUE,noun,die,Feuerwehrfrau,,bombera,professions,211,,
TRUE,noun,die,Krankenschwester,,enfermera,professions,211,,
TRUE,noun,der,Chef,,jefe,professions,211,,
TRUE,noun,die,Chefin,,jefa,professions,211,,
TRUE,noun,der,Kollege,,colega,professions,211,,
TRUE,noun,die,Kollegin,,colega,professions,211,,
TRUE,noun,die,Bauarbeiterin,,"construction worker, obrera",professions,211,,
TRUE,noun,der,Musiker,,musician,professions,211,,
TRUE,noun,der ,Manager,,manager,professions,212,,
TRUE,adjective,,teuer,,"expensive, caro",shopping,,,
TRUE,adjective,,günstig,,"cheap, barato",shopping,,,
TRUE,adjective,,billig,,"cheap, barato",shopping,,,
TRUE,adjective,,wenig,,"little, poco",shopping,,,
TRUE,adjective,,gestreift,,"striped,rayado",shopping,,,
TRUE,adjective,,gepunktet,,"dotted,punteado",shopping,,,
TRUE,adjective,,bunt,,"colorful,colorido",shopping,,,
TRUE,adjective,,koloriert,,"colorful,colorido",shopping,,,
TRUE,noun,das,Geschäft,Geschäfte ,"business, negocio",shopping,,,
TRUE,noun,das,Angebot,Angebote,"offer, oferta",shopping,,,
TRUE,noun,die,Sache,Sachen,"thing, cosa",shopping,,,
TRUE,noun,das,Geld,Gelder,"money, dinero",shopping,,,
TRUE,noun,die,Karte,,"card, tarjeta",shopping,,,
TRUE,noun,das,Bargeld (bar),,"cash, efectivo",shopping,,,
TRUE,noun,das,Geschenk,Geschenke,"gift, regalo",shopping,,,
TRUE,noun,die,Münze,Münzen,"coin, moneda",shopping,,,
TRUE,noun,der,Schein,Scheine,"bill, billete",shopping,,,
TRUE,noun,der,Verkäufer,,"seller, vendedor",shopping,,,
TRUE,noun,die,Kleidung (pl),Kleidung (pl),"clothes, ropa",shopping,,,
TRUE,noun,die,Klamotten (pl),Klamotten (pl),"clothes, ropa",shopping,,,
TRUE,noun,die,Schuh,Schuhe,"shoes, zapatos",shopping,,,
TRUE,noun,die,Handschuh,Handschuhe,"gloves, guantes",shopping,,,
TRUE,noun,die,Socke,Socken,"socks, medias",shopping,,,
TRUE,noun,die,Jeans,Jeans,jeans,shopping,,,
TRUE,noun,die,Hose,,"pants, pantalon",shopping,,,
TRUE,noun,die,Bluse,,"blouse, blusa",shopping,,,
TRUE,noun,die,Jacke,,"jacket, chaqueta",shopping,,,
TRUE,noun,die,Weste,,"vest, chaleco",shopping,,,
TRUE,noun,die,Stiefel,,"boots, botas",shopping,,,
